"DefaultValue","CustomValue"
"Change the patterns for document numbers here.","Change the patterns for document numbers here."
"Change this computer to a server","Change this computer to a server"
"Change Unit of Measure","Change Unit of Measure"
"Change User","Change User"
"Changed","Changed"
"Changed Connection","Changed Connection"
"Changed Server Password","Changed Server Password"
"Changed User","Changed User"
"Changing password...","Changing password..."
"Check for &Updates","Check for &Updates"
"Check for Update","Check for Update"
"Check this if you want inFlow to automatically match the invoice items with the picked items.","Check this if you want inFlow to automatically match the invoice items with the picked items."
"Check this if you want to use current costs instead of the cost at the time a transaction was recorded in your reports and the dashboard.","Check this if you want to use current costs instead of the cost at the time a transaction was recorded in your reports and the dashboard."
"Check this option if you want to show units after some product quantities, e.g. ""5 cases"" instead of just ""5"".","Check this option if you want to show units after some product quantities, e.g. ""5 cases"" instead of just ""5""."
"Check this option to allow this user to add/remove users' access rights.","Check this option to allow this user to add/remove users' access rights."
"Check this option to display product tax codes (e.g. for tax exempt products) on orders and invoices.","Check this option to display product tax codes (e.g. for tax exempt products) on orders and invoices."
"Check this option to include deactivated locations as well.","Check this option to include deactivated locations as well."
"Check this option to include product descriptions in your reports, or leave it blank just to use the product name/codes.","Check this option to include product descriptions in your reports, or leave it blank just to use the product name/codes."
"Check this option to show a description along with your product.","Check this option to show a description along with your product."
"Check this option to show sales taxes on your invoices and orders.","Check this option to show sales taxes on your invoices and orders."
"Check this option to show sublocations (e.g. Aisle number, bin number) in inFlow.","Check this option to show sublocations (e.g. Aisle number, bin number) in inFlow."
"Check this option to show two types of taxes on your orders and invoices.","Check this option to show two types of taxes on your orders and invoices."
"Check this to include all products and locations in the report, even if that product isn't currently stored in the location","Check this to include all products and locations in the report, even if that product isn't currently stored in the location"
"Checking server for other logged in users...","Checking server for other logged in users..."
"Checking...","Checking..."
"China","China"
"City","City"
"Classic","Classic"
"Clean","Clean"
"Clear","Clear"
"Clear any pictures related to this product.","Clear any pictures related to this product."
"ClearItems","ClearItems"
"Click below to customize a sample document template in Word.","Click below to customize a sample document template in Word."
"Click below to save these connection settings to a file","Click below to save these connection settings to a file"
"Click here to attach a picture of this product here.","Click here to attach a picture of this product here."
"Click here to see a full list of functions available in inFlow.","Click here to see a full list of functions available in inFlow."
"Click here to see suggested products to reorder","Click here to see suggested products to reorder"
"Click here to switch back to your own data.","Click here to switch back to your own data."
"Click on the ""Add New Custom Doc"" button on the left to get started.","Click on the ""Add New Custom Doc"" button on the left to get started."
"Click on the link below to purchase the license directly from our website using Credit Card or PayPal.","Click on the link below to purchase the license directly from our website using Credit Card or PayPal."
"Click this button to convert this Quotation into an Order.","Click this button to convert this Quotation into an Order."
"Click this button to mark this work order as completed and update inventory.","Click this button to mark this work order as completed and update inventory."
"Click this button to receive all remaining shipments and mark this order as fully received.","Click this button to receive all remaining shipments and mark this order as fully received."
"Click this button to receive the inventory and mark the order as paid.","Click this button to receive the inventory and mark the order as paid."
"Click this button to ship out any remaining shipments and mark this order as fully shipped.","Click this button to ship out any remaining shipments and mark this order as fully shipped."
"Click this button to ship out the inventory and mark the order as paid.","Click this button to ship out the inventory and mark the order as paid."
"Click this to cancel this purchase order.","Click this to cancel this purchase order."
"Click this to cancel this sales order.","Click this to cancel this sales order."
"Click this to cancel this work order.","Click this to cancel this work order."
"Click this to have inFlow suggest a customer return for this order based on the products invoiced.","Click this to have inFlow suggest a customer return for this order based on the products invoiced."
"Click this to have inFlow suggest how to pack products for this order based on the products picked so far.","Click this to have inFlow suggest how to pack products for this order based on the products picked so far."
"Click this to have inFlow suggest how to pick products for this order.","Click this to have inFlow suggest how to pick products for this order."
"Click this to have inFlow suggest how to pick raw materials for this work order.","Click this to have inFlow suggest how to pick raw materials for this work order."
"Click this to have inFlow suggest how to ship this order based on the boxes packed.","Click this to have inFlow suggest how to ship this order based on the boxes packed."
"Click this to have inFlow suggest inventory restocking based on the products returned.","Click this to have inFlow suggest inventory restocking based on the products returned."
"Click this to have inFlow suggest products to return for this order based on the products invoiced by the vendor.","Click this to have inFlow suggest products to return for this order based on the products invoiced by the vendor."
"Click this to have inFlow suggest where to put away the assembled finished products.","Click this to have inFlow suggest where to put away the assembled finished products."
"Click this to mark all the products above as unstocked and remove them from inventory.","Click this to mark all the products above as unstocked and remove them from inventory."
"Click this to pay this invoice.","Click this to pay this invoice."
"Click this to pay this purchase order.","Click this to pay this purchase order."
"Click this to refund the full amount after the handling fee has been deducted.","Click this to refund the full amount after the handling fee has been deducted."
"Click this to restock all the products listed above.","Click this to restock all the products listed above."
"Click to see a list of help articles associated with this screen.  It also contains a list of places where you can find help.","Click to see a list of help articles associated with this screen.  It also contains a list of places where you can find help."
